action	category	address	old_name	new_name	source	reason
same	runtime_sdk	80003100	memset	memset	asm/Runtime.PPCEABI.H/__mem.s	already named
same	runtime_sdk	80003130	__fill_mem	__fill_mem	asm/Runtime.PPCEABI.H/__mem.s	already named
same	runtime_sdk	800031e8	memcpy	memcpy	asm/Runtime.PPCEABI.H/__mem.s	already named
skip	game_asm	80003238	fn_80003238	TRK_memset	asm/TRK_MINNOW_DOLPHIN/mem_TRK.s	category not enabled
skip	game_asm	80003268	TRK_memcpy	TRK_memcpy	asm/TRK_MINNOW_DOLPHIN/mem_TRK.s	category not enabled
skip	game_asm	8000328c	gTRKInterruptVectorTable	gTRKInterruptVectorTable	asm/TRK_MINNOW_DOLPHIN/__exception.s	category not enabled
skip	game_asm	800051c0	TEA_HotReset	gTRKInterruptVectorTableEnd	asm/TRK_MINNOW_DOLPHIN/__exception.s	category not enabled
skip	game_asm	800051c0	gTRKInterruptVectorTableEnd	gTRKInterruptVectorTableEnd	asm/TRK_MINNOW_DOLPHIN/__exception.s	category not enabled
same	runtime_sdk	800054ec	__init_hardware	__init_hardware	asm/os/__ppc_eabi_init.s	already named
same	runtime_sdk	80005510	__flush_cache	__flush_cache	asm/os/__ppc_eabi_init.s	already named
skip	game_asm	80005800	fn_80005800	Pad_InitCallback	asm/gmmain.s	category not enabled
skip	game_asm	80005898	main	main	asm/gmmain.s	category not enabled
skip	game_asm	80005d78	kar_gmmain__near_80005d78	gmSetFreezeGameFlag	asm/gmglobal.s	category not enabled
skip	game_asm	80005dcc	kar_gmmain__near_80005dcc	gmUnsetFreezeGameFlag	asm/gmglobal.s	category not enabled
skip	game_asm	800067a4	kar_gmmain__near_800067a4	branchToMiscFunction	asm/gmglobal.s	category not enabled
skip	game_asm	80006c14	kar_gmmain__near_80006c14	gmGetGlobalP	asm/gmglobal.s	category not enabled
skip	game_asm	80006c20	kar_gmmain__near_80006c20	gmGetClearcheckerP	asm/gmglobal.s	category not enabled
skip	game_asm	80006c38	kar_gmmain__near_80006c38	gmGetUnkP	asm/gmglobal.s	category not enabled
skip	game_asm	80006eec	kar_gmmain__near_80006eec	memcard_storeValuesIntoMemory	asm/gmglobal.s	category not enabled
skip	game_asm	8000714c	kar_gmglobal__8000714c	memcard_StoreDefaultValues	asm/gmglobal.s	category not enabled
skip	game_asm	80007640	kar_gmglobal__near_80007640	hwActivateStudio	asm/gmglobal.s	category not enabled
skip	game_asm	80007660	kar_gmglobal__near_80007660	gmGet_Dist	asm/gmglobal.s	category not enabled
skip	game_asm	80007670	kar_gmglobal__near_80007670	gmSet_Dist	asm/gmglobal.s	category not enabled
skip	game_asm	80007680	kar_gmglobal__near_80007680	gmGet_Language	asm/gmglobal.s	category not enabled
skip	game_asm	80007690	kar_gmglobal__near_80007690	gmSet_Language	asm/gmglobal.s	category not enabled
skip	game_asm	800076a0	kar_gmglobal__800076a0	gmGetClearcheckerTypeP	asm/gmglobal.s	category not enabled
skip	game_asm	8000771c	kar_gmglobal__near_8000771c	gmGetClearcheckerType0Ptr	asm/gmglobal.s	category not enabled
skip	game_asm	8000772c	kar_gmglobal__near_8000772c	gmGetClearcheckerType1Ptr	asm/gmglobal.s	category not enabled
skip	game_asm	8000773c	kar_gmglobal__near_8000773c	gmGetClearcheckerType1_2Ptr	asm/gmglobal.s	category not enabled
skip	game_asm	8000774c	kar_gmglobal__near_8000774c	gmGetClearcheckerType2Ptr	asm/gmglobal.s	category not enabled
skip	game_asm	8000775c	kar_gmglobal__8000775c	gmGetClearcheckerTypeP_2	asm/gmglobal.s	category not enabled
skip	game_asm	800077e0	kar_gmglobal__near_800077e0	gmGet_80536EDC_Ptr	asm/gmglobal.s	category not enabled
skip	game_asm	800077f0	kar_gmglobal__near_800077f0	gmGet_80536EDC_Array	asm/gmglobal.s	category not enabled
skip	game_asm	80007968	kar_gmglobal__near_80007968	hwDeactivateStudio	asm/gmglobal.s	category not enabled
skip	game_asm	80007988	kar_gmglobal__near_80007988	salStartAi	asm/gmglobal.s	category not enabled
skip	game_asm	800082a0	kar_gmlanmenu__800082a0	menuGetNextMenuID	asm/gmglobal.s	category not enabled
skip	game_asm	800082d0	kar_gmglobal__near_800082d0	loadMain_Two	asm/gmglobal.s	category not enabled
skip	game_asm	80008ad4	kar_gmglobal__near_80008ad4	loadMain_One	asm/gmglobal.s	category not enabled
skip	game_asm	800092b4	fn_800092B4	getPlayerCount	asm/gmglobal.s	category not enabled
skip	game_asm	80009394	fn_80009394	setMap	asm/gmglobal.s	category not enabled
skip	game_asm	800095a0	fn_800095A0	EnableMetroTRKInterrupts	asm/gmglobal.s	category not enabled
skip	game_asm	8000aa2c	fn_8000AA2C	playerDies	asm/gmglobal.s	category not enabled
skip	game_asm	8000aaf0	fn_8000AAF0	getMaxStatsValue	asm/gmglobal.s	category not enabled
skip	game_asm	8000ab1c	fn_8000AB1C	getMinStatsValue	asm/gmglobal.s	category not enabled
skip	game_asm	8000acb0	kar_diag__8000acb0	getTrialFlag	asm/gmglobal.s	category not enabled
skip	game_asm	8000aea8	kar_gmracenormal__8000aea8	menu_getCurrentMenuID	asm/gmglobal.s	category not enabled
skip	game_asm	8000b62c	fn_8000B62C	loadCSS_CityTrial_initTimerValue	asm/gmglobal.s	category not enabled
skip	game_asm	8000bba0	kar_gmlanmenu__8000bba0	loadMainMenuMusic	asm/gmglobal.s	category not enabled
skip	game_asm	8000d26c	kar_gmautodemo_start_opening_movie	loadTitlePlayer	asm/gmglobal.s	category not enabled
skip	game_asm	8000fc70	kar_gm_assets__asset_8000fc70	gmLoadData	asm/gmautodemo.s	category not enabled
